MOENumber,SchoolType,SchoolName
1,Composite,Penguin Weka Area School
2,Composite,Rising Whale Area School
3,Secondary (Year 9-15),Seastar Korora College
4,Secondary (Year 7-15),Wai Kingfisher College
5,Secondary (Year 7-15),Pacific Nautilus College
6,Composite,Kowhai Korora Area School
7,Secondary (Year 7-15),Coastal Koura College
8,Secondary (Year 9-15),Rising Piper College
9,Secondary (Year 9-15),Harbour Anemone College
10,Composite,Seabreeze Penguin Area School
11,Composite,Mussel Kakapo Area School
12,Composite,Paua Octopus Area School
13,Secondary (Year 9-15),Rockpool Orca College
14,Secondary (Year 7-15),Turtle Moana College
15,Secondary (Year 9-15),Paua Paua College
16,Secondary (Year 9-15),Snapper Jellyfish College
17,Secondary (Year 7-15),Pounamu Hapuku College
18,Composite,Rockpool Kahawai Area School
19,Secondary (Year 9-15),Kowhai Kingfisher College
20,Secondary (Year 7-15),Current Tern College
21,Secondary (Year 7-15),Eastern Sponge College
22,Secondary (Year 7-15),Penguin Coral College
23,Secondary (Year 9-15),Clearwater Octopus College
24,Secondary (Year 7-15),Pebble Seal College
25,Secondary (Year 7-15),Kina Moana College
26,Secondary (Year 9-15),Anchor Hoiho College
27,Secondary (Year 9-15),Kowhai Fantail College
28,Secondary (Year 9-15),Seastar Cockle College
29,Composite,Ocean Snapper Area School
30,Secondary (Year 9-15),Foam Tern College
31,Secondary (Year 9-15),Pohutukawa Kereru College
32,Secondary (Year 9-15),Tern Skink College
35,Secondary (Year 7-15),Western Dotterel College
36,Secondary (Year 9-15),Seastar Skink College
37,Secondary (Year 9-15),Kauri Hoiho College
38,Secondary (Year 9-15),Silver Mussel College
39,Secondary (Year 7-15),Island Piwakawaka College
40,Secondary (Year 9-15),Sunny Barracuda College
41,Secondary (Year 9-15),Aqua Pufferfish College
42,Secondary (Year 9-15),Kelp Ruru College
43,Secondary (Year 9-15),Reef Tern College
44,Secondary (Year 9-15),Anchor Rockpool College
45,Secondary (Year 9-15),Paua Kakariki College
46,Secondary (Year 7-15),Seashell Seaweed College
47,Secondary (Year 7-15),Southern Shark College
48,Secondary (Year 9-15),Pacific Ruru College
49,Secondary (Year 9-15),Misty Moki College
50,Secondary (Year 7-15),Saltwater Petrel College
51,Secondary (Year 7-15),Marina Piper College
52,Composite,Bright Mussel Area School
53,Secondary (Year 9-15),Harbour Oystercatcher College
54,Secondary (Year 9-15),Korora Manta College
57,Secondary (Year 9-15),Reef Paua College
58,Secondary (Year 9-15),Kauri Dolphin College
59,Secondary (Year 7-15),Kelp Piwakawaka College
60,Full Primary,Kelp Kakariki Primary School
61,Secondary (Year 7-15),Sandy Weka College
62,Secondary (Year 7-15),Ocean Piwakawaka College
63,Secondary (Year 7-15),Current Wrasse College
64,Secondary (Year 9-15),Deepwater Piper College
65,Secondary (Year 9-15),Wave Tuna College
66,Composite,Dolphin Barracuda Area School
67,Composite,Kauri Tuna Area School
68,Composite,Silver Stingray Area School
69,Secondary (Year 9-15),Kina Tern College
70,Secondary (Year 7-15),Mussel Pufferfish College
74,Secondary (Year 9-15),Rimu Tui College
75,Secondary (Year 9-15),Saltwater Snapper College
77,Composite,Marina Flounder Area School
78,Secondary (Year 9-15),Seagrass Stingray College
79,Secondary (Year 9-15),Driftwood Heron College
80,Secondary (Year 9-15),Sunny Eel College
81,Secondary (Year 7-15),Pacific Orca College
82,Composite,Cove Marlin Area School
83,Secondary (Year 9-15),Southern Rockpool College
84,Secondary (Year 9-15),Pacific Jellyfish College
85,Secondary (Year 9-15),Kelp Whale College
86,Secondary (Year 9-15),Paua Dotterel College
87,Secondary (Year 9-15),Kowhai Dotterel College
88,Secondary (Year 9-15),Current Octopus College
89,Secondary (Year 9-15),Kina Flounder College
90,Secondary (Year 9-15),Moana Starfish College
91,Secondary (Year 9-15),Blue Seaweed College
93,Secondary (Year 9-15),Rockpool Piper College
94,Secondary (Year 7-15),Sunny Rockpool College
95,Secondary (Year 9-15),Harakeke Tarakihi College
96,Secondary (Year 9-15),Saltwater Whale College
97,Secondary (Year 9-15),Blue Oystercatcher College
99,Secondary (Year 9-15),Kelp Pipit College
100,Secondary (Year 9-15),Blue Skink College
101,Secondary (Year 9-15),Pounamu Seal College
102,Secondary (Year 9-15),Current Prawn College
103,Secondary (Year 9-15),Snapper Anemone College
104,Secondary (Year 7-15),Reef Shrimp College
105,Secondary (Year 9-15),Foam Piper College
106,Secondary (Year 7-15),Seabreeze Orca College
108,Composite,Cove Hoiho Area School
109,Composite,Aqua Kea Area School
110,Composite,Aqua Kelp Area School
111,Secondary (Year 9-15),Kauri Cockle College
112,Secondary (Year 9-15),Kowhai Turtle College
113,Secondary (Year 9-15),Whale Marlin College
114,Secondary (Year 7-15),Eastern Eel College
115,Secondary (Year 7-15),Rimu Ruru College
116,Secondary (Year 9-15),Tern Manta College
117,Secondary (Year 7-15),Pounamu Shark College
